,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,location
0,13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished,NLR
1,12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished,TPT
2,12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished,NLR
3,12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished,HYD
4,11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished,NLR
5,10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished,NLR
6,10150000,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished,BLR
7,10150000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished,MAS
8,9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished,TPT
9,9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished,MAS
10,9800000,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished,BLR
11,9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished,TPT
12,9310000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished,TPT
13,9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished,HYD
14,9240000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished,NLR
15,9100000,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished,BLR
16,9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished,TPT
17,8960000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished,NLR
18,8890000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished,BLR
19,8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished,TPT
20,8750000,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished,BLR
21,8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished,MAS
22,8645000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished,TPT
23,8645000,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished,TPT
24,8575000,8800,3,2,2,yes,no,no,no,yes,2,no,furnished,NLR
25,8540000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished,TPT
26,8463000,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished,HYD
27,8400000,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished,TPT
28,8400000,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished,BLR
29,8400000,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished,TPT
30,8400000,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished,MAS
31,8400000,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished,MAS
32,8295000,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished,NLR
33,8190000,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished,NLR
34,8120000,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished,TPT
35,8080940,7000,3,2,4,yes,no,no,no,yes,2,no,furnished,MAS
36,8043000,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished,MAS
37,7980000,9000,4,2,4,yes,no,no,no,yes,2,no,furnished,BLR
38,7962500,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished,TPT
39,7910000,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished,NLR
40,7875000,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished,BLR
41,7840000,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished,NLR
42,7700000,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished,NLR
43,7700000,6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished,MAS
44,7560000,6000,4,2,4,yes,no,no,no,yes,1,no,furnished,BLR
45,7560000,6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished,TPT
46,7525000,6000,3,2,4,yes,no,no,no,yes,1,no,furnished,MAS
47,7490000,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished,TPT
48,7455000,4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished,NLR
49,7420000,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished,BLR
50,7420000,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished,HYD
51,7420000,6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished,TPT
52,7350000,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished,TPT
53,7350000,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished,NLR
54,7350000,6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished,MAS
55,7350000,6000,3,1,2,yes,no,no,no,yes,1,no,unfurnished,NLR
56,7343000,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished,HYD
57,7245000,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished,HYD
58,7210000,7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished,TPT
59,7210000,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished,MAS
60,7140000,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished,NLR
61,7070000,8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished,NLR
62,7070000,6240,4,2,2,yes,no,no,no,yes,1,no,furnished,HYD
63,7035000,6360,4,2,3,yes,no,no,no,yes,2,yes,furnished,HYD
64,7000000,11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished,BLR
65,6930000,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished,NLR
66,6930000,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished,BLR
67,6895000,7700,3,2,1,yes,no,no,no,no,2,no,unfurnished,NLR
68,6860000,6000,3,1,1,yes,no,no,no,yes,1,no,furnished,BLR
69,6790000,12090,4,2,2,yes,no,no,no,no,2,yes,furnished,TPT
70,6790000,4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished,NLR
71,6755000,6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished,MAS
72,6720000,5020,3,1,4,yes,no,no,no,yes,0,yes,unfurnished,BLR
73,6685000,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished,TPT
74,6650000,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished,BLR
75,6650000,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished,BLR
76,6650000,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished,MAS
77,6650000,6500,3,2,3,yes,no,no,no,yes,0,yes,furnished,MAS
78,6650000,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished,BLR
79,6650000,6000,3,2,3,yes,yes,no,no,yes,0,no,furnished,NLR
80,6629000,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished,MAS
81,6615000,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished,MAS
82,6615000,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished,BLR
83,6580000,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished,TPT
84,6510000,3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished,NLR
85,6510000,8250,3,2,3,yes,no,no,no,yes,0,no,furnished,BLR
86,6510000,6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished,TPT
87,6475000,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished,NLR
88,6475000,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished,TPT
89,6440000,8580,5,3,2,yes,no,no,no,no,2,no,furnished,TPT
90,6440000,5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,MAS
91,6419000,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished,NLR
92,6405000,4800,3,2,4,yes,yes,no,no,yes,0,no,furnished,TPT
93,6300000,7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished,MAS
94,6300000,6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished,MAS
95,6300000,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished,TPT
96,6300000,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished,MAS
97,6300000,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished,TPT
98,6293000,6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished,HYD
99,6265000,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished,NLR
100,6230000,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished,MAS
101,6230000,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished,TPT
102,6195000,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished,BLR
103,6195000,6350,3,2,3,yes,yes,no,no,yes,0,no,furnished,TPT
104,6195000,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished,MAS
105,6160000,4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished,BLR
106,6160000,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished,BLR
107,6125000,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished,HYD
108,6107500,3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished,NLR
109,6090000,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished,BLR
110,6090000,6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,MAS
111,6090000,8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished,TPT
112,6083000,4300,6,2,2,yes,no,no,no,no,0,no,furnished,BLR
113,6083000,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished,NLR
114,6020000,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished,NLR
115,6020000,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished,NLR
116,6020000,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished,HYD
117,5950000,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished,TPT
118,5950000,6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished,BLR
119,5950000,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished,MAS
120,5950000,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished,TPT
121,5950000,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished,BLR
122,5950000,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished,BLR
123,5950000,7320,4,2,2,yes,no,no,no,no,0,no,furnished,BLR
124,5950000,6525,3,2,4,yes,no,no,no,no,1,no,furnished,HYD
125,5943000,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,MAS
126,5880000,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished,HYD
127,5880000,6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished,BLR
128,5873000,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished,TPT
129,5873000,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished,TPT
130,5866000,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished,NLR
131,5810000,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished,TPT
132,5810000,5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,MAS
133,5810000,4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished,TPT
134,5803000,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished,BLR
135,5775000,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished,NLR
136,5740000,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished,HYD
137,5740000,4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished,NLR
138,5740000,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,MAS
139,5740000,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished,TPT
140,5740000,5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished,HYD
141,5652500,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished,HYD
142,5600000,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished,TPT
143,5600000,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished,TPT
144,5600000,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished,HYD
145,5600000,5000,3,1,4,yes,no,no,no,no,0,no,furnished,HYD
146,5600000,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished,TPT
147,5600000,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished,BLR
148,5600000,6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished,HYD
149,5600000,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished,NLR
150,5600000,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished,TPT
151,5565000,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished,BLR
152,5565000,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished,TPT
153,5530000,3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished,TPT
154,5530000,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished,NLR
155,5530000,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished,MAS
156,5523000,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished,BLR
157,5495000,2817,4,2,2,no,yes,yes,no,no,1,no,furnished,BLR
158,5495000,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished,HYD
159,5460000,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished,MAS
160,5460000,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished,NLR
161,5460000,6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished,HYD
162,5460000,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished,HYD
163,5425000,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished,NLR
164,5390000,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished,NLR
165,5383000,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished,TPT
166,5320000,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished,BLR
167,5285000,4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished,TPT
168,5250000,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished,HYD
169,5250000,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished,BLR
170,5250000,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished,BLR
171,5250000,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished,BLR
172,5250000,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished,BLR
173,5250000,5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished,NLR
174,5250000,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished,MAS
175,5250000,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished,MAS
176,5250000,8520,3,1,1,yes,no,no,no,yes,2,no,furnished,NLR
177,5243000,6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished,HYD
178,5229000,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,HYD
179,5215000,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished,NLR
180,5215000,4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished,TPT
181,5215000,7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished,TPT
182,5145000,3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished,TPT
183,5145000,7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished,HYD
184,5110000,3000,3,2,2,yes,yes,yes,no,no,0,no,furnished,NLR
185,5110000,3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished,BLR
186,5110000,11410,2,1,2,yes,no,no,no,no,0,yes,furnished,MAS
187,5110000,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished,MAS
188,5075000,5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished,NLR
189,5040000,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished,TPT
190,5040000,7600,4,1,2,yes,no,no,no,yes,2,no,furnished,TPT
191,5040000,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished,MAS
192,5040000,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished,NLR
193,5033000,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,NLR
194,5005000,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished,BLR
195,4970000,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished,BLR
196,4970000,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished,NLR
197,4956000,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished,NLR
198,4935000,5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,BLR
199,4907000,4200,3,1,2,yes,no,no,no,no,1,no,furnished,TPT
200,4900000,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,TPT
201,4900000,4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished,HYD
202,4900000,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished,HYD
203,4900000,5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished,BLR
204,4900000,4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished,MAS
205,4900000,6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,BLR
206,4900000,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished,MAS
207,4900000,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,TPT
208,4900000,2970,3,1,3,yes,no,no,no,no,0,no,semi-furnished,MAS
209,4900000,6720,3,1,1,yes,no,no,no,no,0,no,unfurnished,HYD
210,4900000,4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished,MAS
211,4900000,12900,3,1,1,yes,no,no,no,no,2,no,furnished,MAS
212,4893000,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished,TPT
213,4893000,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished,MAS
214,4865000,4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished,MAS
215,4830000,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished,BLR
216,4830000,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished,TPT
217,4830000,6862,3,1,2,yes,no,no,no,yes,2,yes,furnished,TPT
218,4830000,4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished,MAS
219,4795000,7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished,HYD
220,4795000,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished,NLR
221,4767000,3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished,MAS
222,4760000,9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished,MAS
223,4760000,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished,HYD
224,4760000,10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished,MAS
225,4753000,6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished,MAS
226,4690000,5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished,MAS
227,4690000,6000,2,1,1,yes,no,yes,no,yes,1,no,furnished,TPT
228,4690000,3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished,MAS
229,4690000,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished,NLR
230,4690000,5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished,HYD
231,4690000,4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,BLR
232,4655000,3745,3,1,2,yes,no,yes,no,no,0,no,furnished,NLR
233,4620000,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished,MAS
234,4620000,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished,MAS
235,4620000,5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished,TPT
236,4620000,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,TPT
237,4620000,5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,HYD
238,4613000,4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished,TPT
239,4585000,4000,3,1,2,yes,no,no,no,no,1,no,furnished,TPT
240,4585000,3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished,MAS
241,4550000,3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished,TPT
242,4550000,3640,3,1,2,yes,no,no,no,yes,0,no,furnished,HYD
243,4550000,2550,3,1,2,yes,no,yes,no,no,0,no,furnished,HYD
244,4550000,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,TPT
245,4550000,5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished,HYD
246,4550000,3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,MAS
247,4550000,8400,4,1,4,yes,no,no,no,no,3,no,unfurnished,BLR
248,4543000,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished,BLR
249,4543000,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished,TPT
250,4515000,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished,HYD
251,4515000,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished,TPT
252,4515000,9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished,TPT
253,4515000,3520,2,1,2,yes,no,no,no,no,0,yes,furnished,HYD
254,4480000,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished,MAS
255,4480000,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished,MAS
256,4480000,4000,3,1,2,yes,no,no,no,no,2,no,furnished,MAS
257,4480000,8250,3,1,1,yes,no,no,no,no,0,no,furnished,NLR
258,4480000,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished,NLR
259,4473000,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished,MAS
260,4473000,3162,3,1,2,yes,no,no,no,yes,1,no,furnished,BLR
261,4473000,3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished,BLR
262,4445000,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,HYD
263,4410000,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished,BLR
264,4410000,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished,HYD
265,4403000,2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished,MAS
266,4403000,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished,NLR
267,4403000,4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished,NLR
